魔方KTV(第一国际店),南城区鸿福路200号第一国际7区3楼,22858599
曼克顿酒店KTV,常平镇,天鹅湖二路中段曼克顿酒店公寓内,82200888
新板长量贩式KTV,塘厦镇,诸佛岭环市西路美登居家具广场三楼（天荣百货旁）,82626668
歌世界量贩式KTV(大朗店),横沥镇,富康路南铭购物乐园华润商场3楼,81169222
梵尔赛酒店KTV包厢,常平镇,常平镇下墟管理区梵尔赛路,13790331768
欢歌量贩式KTV,110101,茶山镇东岳路95号,88653888
乐巢量贩式KTV,横沥镇,横沥镇天桥路1号,82859988
天歌纯氧量贩KTV,110101,莞樟路137号,22776999
酷麦氧吧量贩式KTV,寮步镇,寮步镇凫山商业步行街直行内进200米,83529828
神话量贩KTV,长安镇,德诚路,81555222
K王party量贩KTV,南城区莞太路50号,22888222
红馆量贩式KTV(石龙镇店),石龙镇,西湖管理区旺角娱乐场对面,81830000
时光隧道自助式KTV,110101,厦岗环球路口福源广场3楼,85393988
纯K-PARTY(原新K歌会),110101,世博广场H区3楼,4楼,22293555
GOLDEN钱柜KTV(元美店),南城区鸿福路口元美广场,22808555
GOLDEN钱柜KTV(长盛店),大朗镇,长盛广场C2区2楼,83199997
魅力派对量贩式KTV,南城区西平东六路5号,28828899
盛世时代量贩式KTV,松山湖高新区石大路海航广场A区85787666
K沙龙量贩KTV(石龙大华店),石龙镇,红棉路1号大华广场2楼,81706222
GOLDEN钱柜KTV(长安店),长安镇,乌沙社区振安中路2号大润发5楼,85091999
K沙龙量贩KTV(樟木头店),樟木头镇,罗村西城路11号天一城6楼,82696222
PARTY钱柜,110101,主山塘边头莞温路,33364666
GOLDEN钱柜KTV(黄江店),黄江镇,黄江镇黄江大道363号3楼,83665686
飞歌量贩式KTV,110101,东纵大道威尼斯广场B区3楼,22677033
纯K(南城店),南城区鸿福路88号莱蒙商业中心4楼,22888520
福湖酒店KTV,长安镇,厦岗社区福海路45号,85359558
万达大歌星KTV(东莞长安店),长安镇,长安镇东门中路1号万达广场3楼大歌星KTV,82926966
星光大道量贩式KTV,万江区万江共联社区共联大道,28685658
金阳光量贩KTV,塘厦镇,宏业北四路,87886555
大歌星KTV,长安镇,东门中路1号万达广场3楼,82926966
2014最豪华KTV房间,莞城区豪华空间,13712926869
想唱量贩式KTV(常平店),常平镇,常平大道万业金融中心2-3楼,81603333
OneNight,110101,风情步行街B39号铺,13711953036
想唱量贩式KTV(长安店),长安镇,德政西路5号,81555666
超越时空量贩式KTV,樟木头镇,新兴街38号,82173366
K沙龙量贩KTV(大朗长盛店),大朗镇,美景中路长盛广场A区93号铺3楼,83001222
凯信量贩式KTV,谢岗镇,谢岗镇谢常公路128号,82869800
集安酒店KTV,长安镇,乌沙振安路新安工业园集安酒店内,13925856177
歌乐量贩式KTV,东坑镇,中行东坑支行旁,82807988
斑马线量贩式KTV,企石镇,企石镇彭城路28号,81236868
金矿量贩式KTV,樟木头镇,大富豪广场3楼,87126668
汇源海逸俱乐部,虎门镇,虎门大道,85187979
名流发型(东门中路店),长安镇,东门中路1号万达广场2楼2037室,83003938
皇金猫量贩kTV,南城区惠荣购物广场2楼,89796888
星光大道量贩式KTV(同富花园店),其他,高埗镇冼沙二上坊市场西侧,81737828
GOLDEN钱柜KTV(清溪店),清溪镇,香芒中路3号2楼,87388966
想唱量版式KTV(道滘店),道滘镇,振兴北路5号嘉荣超市6楼,81766777
高登堡KTV娱乐城,茶山镇,茶山镇高登堡KTV娱乐城,81800008
东方魅力俱乐部量贩KTV,寮步镇,横坑村横塘路与环城路交汇处美高美酒店一楼,82310388
K沙龙量贩KTV(南城店),南城区胜和簮花岭未来大厦2楼,22900830
人和量贩式KTV,南城区周溪莞太大道227号黄金大厦,22800866
GOLDEN钱柜KTV(常平店),常平镇,天鹅湖路君汇酒店2楼,82206333
梦想飞扬量贩式KTV,110101,火炼树村泰和商业街银树广场B栋,23366333
想唱量版式KTV(清溪店),清溪镇,鹿湖西路10号嘉信广场4楼,86883555
K沙龙量贩KTV(虎门不夜天店),虎门镇,连升路不夜天广场酒吧街,85525222
好乐迪KTV(虎门店),虎门镇,太沙路金沙路口潮流摩3-4楼,81919696
名豪氧吧量贩KTV,虎门镇,虎门大道乐购4楼,85155666
领唱量贩KTV,长安镇,358省道苏宁电器4楼,89320888
迷城帝国量贩式KTV,厚街镇,珊美路107国道旁0015号,81695988
K沙龙量贩KTV(虎门柏景店),虎门镇,港口路虎门大道柏景豪庭2楼,85728883
靓点量贩式KTV,高埗镇,高埗镇振兴路兴隆街金沙百货2楼,81339222
星光大道ktv,南城区荣鑫商贸城银来街2楼,22986818
源创量贩式KTV(中堂一店),中堂镇,东港城商业中心一期A区2楼,88111101
歌神量贩式KTV(石碣店),石碣镇,东风路9号,86365888
GOLDEN钱柜KTV(樟木头店),樟木头镇,莞樟大道96号大富豪广场3楼,87126668
U2快乐谷量贩式KTV(石龙店),石龙镇,绿化中路2号现代广场4楼,81708666
U2快乐谷量贩式KTV(桥头店),桥头镇,桥光大道503号,83993988
精英会卡拉OK,南城区篁村区宏远路1号宏远大厦1楼,22418888
金凤凰俱乐部,塘厦镇,塘厦大道南272号,82168888
歌皇量贩KTV,110101,温塘皂三村温周路39号2楼,33222266
新歌派,大朗镇,长富步行街岁宝百货4楼,88908888
源创量贩式KTV(虎门店),虎门镇,连升中路地标广场,81689666
明苑大酒店KTV,虎门镇,金龙路,85105112
嘉华KTV,厚街镇,家具大道1号,13431221987
U2快乐谷量贩式KTV(土塘店),常平镇,土塘常东路段18号昌隆大厦3楼,89308988
新潮量贩式KTV(大山岭店),大岭山镇,教育路宝嘉商业城3楼,82781777
家好KTV,长安镇,长安镇沙头南区靖海西路88号,33357650
GOLDEN钱柜KTV(桥头店),桥头镇,桥头镇工业路296号迳联商业大厦4楼,82556855
星光大道量贩式KTV(镇业路店),虎门镇,镇业路,85250001
好声音量贩式KTV,樟木头镇,莞樟西路103号,87122666
U2快乐谷量贩式KTV(还珠沥店),常平镇,还珠沥村常平置业广场2楼,82201388
珊瑚酒店KTV,厚街镇,珊瑚路口珊瑚酒店内,99999999
水立方量贩式KTV,长安镇,中南北路8号,82586999
GOLDEN钱柜KTV(茶山店),茶山镇,茶山镇下朗村安泰路龙珠广场2号3楼,38936969
金域皇宫夜总会,道滘镇,道滘镇,88333888
歌飞扬量贩KTV(石排店),石排镇,石排赤坎工业区万丰广场,81377388
韩派量贩式KTV,110101,锦厦康惠百货2-4楼,81586588
纯k量贩式ktv,石碣镇,(二村综合市场)憬福酒店4楼,86312366
天豪夜总会,莞城区东泊村107国道,18802647449
金叶量贩式KTV,常平镇,乐购广场右侧,83330998
当代森林量贩KTV,黄江镇,袁屋围路南康百货4楼,87132333
音乐龙量贩式KTV(常平店),常平镇,中元路联邦国际广场2楼,86994699
NO.99酒吧,虎门镇,太沙路正场生活馆388号1-3楼,88333998
NB酒吧,长安镇,长青路,13751466656
歌飞扬量贩KTV(寮步镇店),寮步镇,寮步镇横坑村,81118388
米乐星KTV,塘厦镇,花园新街10-301号,10-401号,82776777
爱唱量贩式KTV,万江区谷涌农贸市场2楼107室国道旁边,18924344438
星光大道KTV(万江店),虎门镇,简沙洲管理区爱群商业街2楼,23171598
群英会量贩式KTV,石碣镇,交通银行财政分局对面国美电器4楼,83669333
万紫千红俱乐部,虎门镇,连升路博涌王屋路段,81618888
盛歌汇量贩ktv,长安镇,长安镇沙头社区滨河路17号,84429688
七夜KTV,长安镇,东大路35号,18575501977
博锐奥尔夫音乐,南城区西平宏伟路9号2楼206号,22800609
唛王时尚量贩KTV,长安镇,沙头南区猫山北路83号南区购物广场3楼A2号,81886955
源创量贩式KTV(江南店),其他,江南管理区江南市场2楼,88183366
星派对量贩式KTV(常平店),常平镇,中元街常平广场2楼,81088998
新满柜量贩式KTV,常平镇,苏坑广汇农贸综合市场3楼,81834888
好乐KTV,麻涌镇,麻涌镇大步村东海路,88233266
暮色酒吧,南城区西平绿色路国际公馆,15818357706
魔方KTV(虎门国际店),虎门镇,连升中路11号国际购物中心4楼,33372555
红馆量贩式KTV(南城店),南城区鸿福路92号中环财富广场5楼,22380000
玛莎酒吧,樟木头镇,东城路香樟绿洲花园地铺68栋,87797333
红馆量贩式KTV(运河东一路店),110101,运河东一路,22693333
名门夜总会,长安镇,华丽路集浩花园,25828882
魔方KTV(雍华庭店),110101,东城西路合利大厦3-5楼,86864567
汇美天伦Ktv,常平镇,常平大道18号,15999761892
歌神量贩式KTV(塘厦店),塘厦镇,塘厦大道中新园大厦2-3楼,33300666
凯迪KTV,谢岗镇,谢岗镇谢常路合隆百货二三楼,87632288
魔方KTV(太平广场店),虎门镇,太平广场步行街北门4楼,85900666
阿尔法清吧,其他,新世纪星城23号铺,23600770
文化周末俱乐部量贩KTV,110101,向阳路2号,22100208
GOLDEN钱柜KTV(大岭山总店),松山湖高新区南一路188号3-5楼,82658555
商旅钱柜KTV,石龙镇,龙升路卓越东江大厦2楼,82215777
星派对量贩式KTV(长安店),长安镇,长青路华安商住楼2-3楼,85538989
景泰香都KTV,寮步镇,红荔路8号景泰香都时代广场4楼,82393333
魔方KTV(华南mall店),万江区万江路北3号华南摩尔5楼,86025666
百威K馆,南城区建设路2号,22460123
魔方KTV(厚街店),厚街镇,康乐南路明丰广场5楼,5031855
红馆量贩KTV,110101,泰和商业街与金锡路交汇处北40号,22380000
新歌派量贩式KTV,大朗镇,富华中路318号长富广场4楼,88908888
谊乐圈KTV,塘厦镇,宏业南路,82107777
魅力100量贩式KTV,长安镇,长安镇沙头靖海西路34号,85015666
金歌氧吧KTV,110101,旗峰路162号中侨大厦2-3楼,23138333
星光大道量贩式KTV(寮步店),其他,寮步镇下岭贝,83216588
钱柜KTV(清溪镇店),清溪镇,清溪镇聚富路碧月湾商业中心2-3楼,87388966
玛莎酒吧,樟木头镇,东城大道香樟绿洲花园地铺68栋,87797333
雲海量贩式KTV,塘厦镇,塘龙东路57号,87812888
欢乐颂量贩式KTV,莞城区八达路126号,22472666
扬声KTV,110101,新世界花园酒吧街C区22763993
欢天喜地娱乐城KTV,清溪镇,三中村三中路狮王酒店旁,86816009
SLV俱乐部,南城区新基村新基综合楼2楼,22996108
朝歌量贩KTV(中兴路店),中堂镇,中兴路,81132188
幻影量贩式KTV,其他,石排大道利360981,广场步行街2楼,85813999
魔方KTV(石排店),110101,旗峰路168号金峰堡大厦1楼,23011222
星光欢乐迪氧吧KTV,厚街镇,南环路富民商业广场A座4楼,81225666
Music钱柜KTV(旗峰店),凤岗镇,凤岗镇商业大街永盛新高商场5楼,82192988
钱柜富氧量贩式KTV(凤岗店),南城区城市风景中天创意谷4-5楼,28827666
潮歌量贩式KTV,黄江镇,黄江镇邮政路5号,83660118
景绣花园酒店,莞城区东莞新兴路,13751238588
豪歌会量贩式KTV,麻涌镇,麻涌镇大步村创兴三路如一时尚酒店2楼,88283388
朝歌量贩式KTV(望牛墩店),望牛墩镇,望牛墩镇综合市场,81318338
歌世界量贩式KTV(寮步店),寮步镇,寮步东方新天地商业街C区82813555
潮会国际(俱乐部),黄江镇,社贝二路,013829122240
红馆量贩KTV,110101,火炼树太和路328号,22380000
金河国际俱乐部,110101,东城大道80号,22452668
金裕派对量贩式KTV,长安镇,沙头振安一路126号,81550788
活力世界夜总会,其他,凤深大道辅路,82078207
啤酒态度,110101,长泰路470号中信商业广场3栋商铺104号,23605193
NEWFACE量贩KTV,110101,石井大道162号,22011333
星光大道氧吧量贩KTV,其他,樱花宾馆对面,81737828
星之星酒店KTV,长安镇,厦边大道,85386666
歌世界量贩式KTV(横沥店),横沥镇,横沥镇中山路88号横沥购物城3楼A区82980333
魔方KTV(石龙店),石龙镇,新桥路时代广场天和百货5楼,83633999
时光隧道自助式KTV(长安店),长安镇,长安镇福海路,85393988
银钻量贩式KTV,石龙镇,源林路2号,81356666
新潮ktv,大岭山镇,向东路,65534569
汇美天伦酒店,常平镇,常平大道18号,13412191984
水木年华量贩式KTV,厚街镇,桥头第三工业区桥南路44-46号,85885916
魔方KTV(桥头店),其他,桥头镇桥光大道田新路段1号广隆百货4楼,82363222
流行榜量版式KTV,虎门镇,人民北路555号和富广场2楼,82700333
魔方KTV(石碣店),石碣镇,百汇中央广场12区3楼,81362888
唱响青春,企石镇,横沥镇水边工业园,82857233
汇美天伦酒店(常平富豪酒店),常平镇,金美路256号,13728444055
银座KTV,南城区莞太路,22411538
唱享时光,南城区避风塘美食街国药2楼,15999803111
星光大道量贩式KTV,长安镇,宵边社区107国道莞长路85号,81765588
家乐迪氧吧KTV(雁田门店),其他,雁田怡安中路满家福百货4楼,81255999
歌豪量贩KTV,110101,雅园工业区中心路16号合苑酒店2楼,26626828
舒唱量贩式KTV,大朗镇,红荔商业城3楼,83313999
星乐量贩式KTV,塘厦镇,塘龙西路77号,87811222
星歌汇氧吧Ktv,寮步镇,寮步镇香市路中央公馆海德堡53号2楼,81106868
歌迷会KTV,长安镇,厦边大道326号,85537666
卡卡量贩式KTV,厚街镇,厚街镇珊瑚路25号,85995678
MINI量贩KTV,虎门镇,虎门镇虎门柏景豪庭2楼,85728882
明华酒店量贩式KTV,寮步镇,寮步镇红荔路13号,83284666
歌世界量贩式KTV(石排镇店),石排镇,石排镇石排大道中257号,87023666
君汇酒店Kparty,常平镇,天鹅湖路中段曼克顿广场,82201628
歌皇量贩式KTV,110101,横竹塘路名流坊女人街2楼,33222266
朝歌量贩KTV(沙田店),沙田镇,沙田镇东港城商业中心3楼,89360888
响亮KTV,寮步镇,寮步镇香市路石龙坑东门大厦2层,82399181
金都,莞城区东纵路57号,22684822
C.E.O量贩式KTV,110101,新安社区新安二路5号,81555666
祥盛e哥量贩式KTV,莞城区南栅四区文明路2巷1号,13631719667
百威K歌会,莞城区建设路2号,22468006
亮点K歌会(东科路店),110101,彩怡商业广场附近,27281918
K-one量贩式KTV,110101,旗峰路168号金峰堡,23011222
乐满堂音乐世界,石龙镇,石龙镇绿化中路现代广场4楼,81708333
歌飞扬KTV,其他,横中八路,81118383
新御国际,南城区绿色路28号悦景酒店内,22773888
金江华KTV,大朗镇,美景大道13号长盛南路79号,81067078
新东泰娱乐城,其他,工业大道,83863888
歌来美KTV,石碣镇,明珠中路百汇中央广场,81362888
帝豪花园酒店梦剧院,大朗镇,美景中路769号帝豪花园酒店内,83122222
高洋夜总会,110101,高田坊商业街103号,23162275
健怡嘉年华,桥头镇,桥头镇桥龙路42号,83563888
板长量贩式KTV,塘厦镇,环市西路,82626668
金沙夜总会,松山湖高新区大岭山南区莞长公路边新美华酒店,83353903
宝乐迪氧吧量贩式KTV,塘厦镇,缤纷时代广场,81283999
飞天吧,110101,东城西路雍华庭麦当劳楼上步行街A35号飞天吧,22363619
帅歌量版KTV,长安镇,兴发路18号信华购物广场3楼,85320678
糖果量贩KTV,石碣镇,南悦购物广场附近,86327888
丽豪酒店KTV,常平镇,天鹅湖路丽豪酒店内,82808888
钱柜KTV(商旅店),樟木头镇,莞樟东路126号商旅广场,87187777
奥斯卡,大朗镇,长盛南路79号,81067078
家乐迪量贩式KTV,其他,大道西88号汇业大厦,81213999
KTV游玩指南,常平镇,汇美天伦欧亚逸豪五月花柏悦富豪KTV,13686027664
鑫光大道量贩式KTV(坝新路店),南城区银丰路16号,22811506
奇妙量贩式ktv,清溪镇,御鹿华庭二期B132号,89866388
旺角乐天量贩式KTV,茶山镇,西湖莞龙路段旺角2楼,81320333
名将KTV,长安镇,沙头南区万业百货2楼,38910868
祥麟统帅俱乐部,厚街镇,将军路祥麟酒店2楼,81280666
声汇量贩KTV,麻涌镇,鸥涌喜来购商业中心3楼,88239388
港饮港唱K歌酒廊,樟木头镇,永宁路33号3楼,87122799
天语自助式KTV,110101,东纵大道8号地王广场3楼,22999588
天鹅湖俱乐部,常平镇,天鹅湖路,13763297487
咏乐量贩式KTV,万江区万福路东莞银行,33269888
华城KTV,其他,创意生活城E1区08-10号,23075433
东莞市四海娱乐有限公司(大岭山...,大岭山镇,连平村信立农批莞长路边,81883288
御公馆,长安镇,长中路118号百客酒店5楼,89338288
情缘KTV,万江区共联商业街241-243号,13726483218
极度KTV,长安镇,街口大康惠百货4楼,81558158
凯帝量贩式KTV,石碣镇,南天华佳步行街四甲村,86335889
Lotionspa植物医生,长安镇,东门中路1号万达广场3楼,15015478467
汇爵量贩式ktv,长安镇,振安中路沙头路段334号,81628666
Ktv,厚街镇,东莞,13268581233
东莞市凯佰西餐厅,其他,道滘镇大岭丫马嘶塘村富康新村商业街,88831222
阳光酒店,长安镇,大润发,87126888
汇隆NO.88酒吧夜总会,石龙镇,石龙镇兴龙西路中兴酒店2楼,81922666
星客乐KTV,清溪镇,香芒西路337号天众电子城3楼,82851888
大本营迷你KTV,长安镇,莲湖路,13728398279
歌王量贩KTV,企石镇,振华西一横路,81325888
第五季领域酒吧,樟木头镇,南城大道28号,87701777
相聚一刻量贩式KTV,黄江镇,黄江大道222号鹏泰广场2楼,83363719
沙电歌舞厅,虎门镇,新园,85126560
欢乐嘻嘻KTV,110101,平湖街道凤凰社区平湖大街3646号2楼3楼,84693377
清淳量贩式KTV,横沥镇,西环路,82839098
新力KTV俱乐部,常平镇,站前路,81081188
声雅廊卡拉OK(新风中路店),石碣镇,东风南路1号,83326328
兴和巨星KTV,虎门镇,路东社区新安大道16号B栋,85020266
声雅廊卡拉OK,寮步镇,寮步镇教育路1号金凯悦酒店2层,83326328
一路高歌量贩式KTV,110101,银山商业街主山银山,27281688
尊艺英皇,110101,东城中心一里洋场C-08号铺,23369548
东莞虎门镇,厚街镇,新联丰泰新泰路,85131083
美高美量贩式KTV,南城区西平社区东六路5号,22980066
红馆量贩式KTV(金树路店),110101,金树路,22380000
阳光假日酒店KTV,厚街镇,近大润发,87126888
麦克风量贩式KTV,常平镇,金美市场三街,83666665
魅力俱乐部KTV,110101,运河东一路184号3楼,22117888
金湖新活力KTV,塘厦镇,塘厦镇塘厦大道南99号,87888333
八号吧,石碣镇,西南丹桂路26-28号,86011133
星光大道量贩KTV(街口花园酒店),长安镇,街口上近村,85476331
悦华嘉彩量版式KTV,常平镇,东兴路275号,13423355500
花样年华,南城区运河东三路80号,23011056
劲歌金曲KTV,横沥镇,恒泉路328号,82323813
滚石K歌会,长安镇,上沙社区中南广场,85398687
有家量贩KTV,望牛墩镇,望牛墩镇聚龙江龙泉路45号,81168818
凯旋国际俱乐部,长安镇,沙头社区358省道旁凯旋国际俱乐部,33296888
金永利自助式KTV,樟木头镇,振兴路广开花园酒店3楼,88036860
八度空间量贩式KTV,塘厦镇,凤凰岗工业区87815333
星时代,其他,香市路石龙龙坑段江湘商务酒店2楼,83523688
歌世界（连锁）量贩式KTV(横沥店...,横沥镇,南铭购物广场华润3楼,82980333
111,其他,蕉利北,18819520386
响亮氧吧量贩式KTV(石龙店),常平镇,常平大道朗贝路段万业金融中心2楼,81603333
高盛娱乐,南城区三屯中心大道东1路7号,85757388
星光快乐迪KTV,其他,企石镇镇华路,86762888
滚石,长安镇,中南北路,85398687
潮歌量贩式KTV(镇华店),长安镇,长安镇振安路锦夏路段,81555222
雅兰量贩式KTV,常平镇,雅兰酒店对面,82828808
VitaBar,110101,东城南路酒吧街,13790203656
老朋友德国啤酒屋,南城区东骏路16号香城名门花园9栋107号,13790299677
星夜派对量贩式ktv,虎门镇,太宝路卢屋市场对面王屋牌坊一栋2楼,33289228
红馆量贩KTV(竹围街店),茶山镇,西湖西路,22380000
乌托邦音乐清吧,虎门镇,步行街金逸电影院后怡景茶世界A栋113室铺,15015106006
传说量贩ktv,长安镇,乌沙第六工业区长兴路正城广场内,076981583888
米乐星量贩式KTV,塘厦镇,花园街10号金塘大厦,82776888
TOP派队KTV,长安镇,长青南路华安商住楼2-3楼,85538989
DClub,虎门镇,赤岗,85016266
康泰娱乐,万江区豪门酒店,81111111
