名称,行政区域,地址,联系方式,,
8号楼吧城·豪华KTV,番禺区105国道,61946362,,
《8号公馆》,番禺区钟屏岔道钟村街钟三村路段鼎泰茶博城8号,13411181372,,
猪笼城寨,海珠区江燕路132号江燕花苑2楼,34362244,,
荧光城,海珠区水基大街,22641420,,
星派对(KTV广州店),海珠区新港中路354号珠影星光城3楼,66882988,,
星歌会,海珠区石榴岗路3号凯荣都国际大酒店3-4楼,66672999,,
星都会KTV,海珠区江燕路37号润政广场2楼,81886606,,
新聚点量贩KTV,海珠区东晓南路1290号新都荟广场4楼,66310999,,
新歌练歌场,海珠区龙潭中约大街,34043385,,
糖果KTV(前进路店),海珠区前进路65号嘉汇华庭,89015008,,
堂会(海印店),海珠区东晓路171号,34270999,,
私窦,海珠区宝岗大道南,13602819482,,
咪霸,海珠区石榴岗路3号,89663388,,
露斯玛丽(江南西路店),海珠区江南西路青葵大街13-16号1楼,34400128,,
露斯玛丽,海珠区江南西路青癸大街13-16号1楼,34400128,,
丽影盛会KTV,海珠区新港中路356号丽影广场C区4-5楼,34318299,
拉阔卡拉OK,海珠区凤宁街36号,34417337,,
酷点KTV,海珠区新港东黄埔村口13号,34448181,,
康桥量贩KTV,海珠区怡乐路78号2楼,89090290,,
劲舞台KTV,海珠区昌岗中路130号,84324192,,
劲派KTV,海珠区江南大道南1198号,84121800,,
金珀会,海珠区江南大道中348号,84488703,,
金矿食唱,海珠区东晓路308号4楼,34298388,,
金柜KTV,海珠区土华路2号北座4-5楼,89770688,,
辉城KTV,海珠区广纸路32号,84263736,,
海潼会KTV,海珠区宝岗大道10-12号宏宇广场4楼海潼会,34141717,,
海蝶演艺堂,海珠区新港西路1号银华大厦写字楼3楼,34112523,,
海岸线KTV,海珠区万寿路5-7号万联购物中心,89031585,,
歌神KTV(工业大道店),海珠区工业大道北1号艺丰大厦1-3楼,34417337,,
感觉KTV,海珠区新滘南路南兴综合市场111-113号,86795553,,
飞扬88KTV,海珠区工业大道南440号之1逸佳购物城2楼,62395878,,
敦煌KTV,海珠区敦和路165号,84208999,,
敦皇ktv,海珠区敦和路168号,84208999,,
查克啦,海珠区滨江东路893-903号丽景湾,25668554,,
必爱歌量贩KTV,海珠区海联路18号1-3楼,34296668,,
艾美KTV,海珠区工业大道270自编1号,84263207,,
MuSicPub,海珠区基立东6号之一,18002288663,,
KPARTY量贩式KTV(赤岗店),海珠区江海大道生物工程大厦,89663388,,
Emmy.Bar.,海珠区工业大道270号自编1号首层自编1一4号,84263207,,
真意KTV,花都区花都区百寿路,22960228,
真爱永恒,花都区花都区曙光路,13640791215,
银城一千零一夜俱乐部,花都区站前路49旁,36882868,,
星光汇我唱天地,花都区花都区新华街建设北路72号星光汇商厦6楼,36918777,
欧之诺时尚派对KTV,花都区宝峰路6号,29031555,,
名门夜宴,花都区花都区三东大道西26号,86888173,
领御国际俱乐部,花都区迎宾大道118号,86803648,,
康城KTV,花都区花都区狮岭镇康政路,36912988,
金宝夜总会,花都区花都区凤凰北路,86891000,
活力城,花都区花都区新华镇站前路23号后座,86839800,
欢唱量贩KTV,花都区花都区金狮大道东,86956999,
华夏娱乐城,花都区花都区建设北路,86972866,
花都香草世界,花都区花山镇铁山村,83171734,,
好乐迪KTV(花都店),花都区花都区新华镇站前路37号星城商业广场6楼,36857070,
豪门KTV,花都区花都区迎宾大道云峰大酒店内,37620808,
歌谣KTV,花都区花都区新华镇茶园路15号居雅精品装饰城5楼,36968168,
歌视达量贩式KTV,花都区花都区新华镇松园东路,36988777,
歌神KTV(星光汇店),花都区花都区新华街建设北路72号星光汇6楼,36918777,
畅乐迪钱柜量贩式KTV,花都区花都区田心路1号太子广场3-4楼,22682799,
畅乐迪KTV,花都区花都区公益路23号钻石商务大厦3楼,36998180,
WMUSICCLUB,花都区百寿路与紫薇路交汇处附近,36816268,,
99金柜量贩式KTV,花都区花都区新华镇曙光大道西田大酒店2-3楼,86829599,
99金柜KTV,花都区花都区曙光路与云山大道交汇处（新天地酒店旁边）,61133633,
银石,黄埔区黄埔区港湾路325号港湾影剧院楼下文化宫内,62660741,
新皇俱乐部,黄埔区黄埔区护林公路江瑞商务大厦,32397333,
绅豪俱乐部,黄埔区黄埔区石化路4号,82493608,
尚辰量贩式KTV,黄埔区黄埔东路夏园BRT旁,32033999,,
埔都量贩式KTV,黄埔区港湾路325号大院内港湾影剧院公交大沙地站旁,62660741,,
吉祥宾馆,黄埔区港湾路396号,82295573,,
鸿都会CLUB,黄埔区黄埔区保沙路4号,15815870079,
国泰俱乐部,黄埔区黄埔区海员路119-121号,82299881,
帝豪量版KTV,黄埔区荔香路105号,82286688,,
大香港酒楼,黄埔区黄埔东路,82701063,,
大班KTV,黄埔区大沙西路170号,82270881,,
畅想国度(惠润店),黄埔区黄埔区黄埔东路298号惠润广场4楼,22195651,
新领域娱乐,荔湾区黄沙大道144号,81941381,,
小舞台KTV,荔湾区多宝路107号德宝酒店2楼,81054871,,
相约吧KTV,荔湾区镇南大街2号2楼,18022366981,,
西部牛仔KTV,荔湾区花蕾路花地美食广场,81893988,,
石头记量贩式KTV,荔湾区芳村大道南6号2楼,81403838,,
盛会名模吧,荔湾区招村花苑街,81558777,,
尚柏假日酒店KTV,荔湾区芳村茶滘路3号,61109866,,
骑士夜总会,荔湾区光复中路393号,81850986,,
绿道1号,荔湾区增滘东约,13828488994,,
康王CEO,荔湾区康王中路600号新光广场3楼,81339998,,
金顺KTV,荔湾区西朗麦村南约108号3楼,81510306,,
金玫瑰,荔湾区芳村大道西万盛街9号,81688369,,
花世界酒城,荔湾区花蕾路54号花地美食广场,13926446630,,
好歌KTV,荔湾区下九路92号东急新天地3楼,81248488,,
豪情吧KTV,荔湾区东塱商业广场,81514818,,
歌汇PTV,荔湾区穗盐路收费站旁迎海国际茶都内,81119999,,
飞龙旅店,荔湾区芳信路17号,81555232,,
Y4K量贩KTV,荔湾区中山八路16号4楼,13631337534,,
onetWo,荔湾区花地大道北83-85号,13751741083,,
Neway(新光店),荔湾区康王中路656号新光城市广场一期3楼,81339998,,
Ayana酒吧,荔湾区下九路351号,15013148332,,
823量贩KTV,荔湾区荔湾路97号动感小西关自编6号楼2-3楼,61271188,,
一休歌量贩式KTV,萝岗区萝岗区科学城科学大道193号高德汇A6栋5-6楼,22201555,
蒲吧PubBar,萝岗区开发大道368号,82226688,,
胜龙富氧量贩ktv(兴业路店),南沙区南沙区大岗镇兴业路28号2楼,34980498,
圣地亚哥梦幻城,南沙区南沙区珠电路3号,84686855,
加洲红,南沙区南沙区金岭北路42-1号,84686088,
好声音KTV,南沙区南沙区惠康街83号金洲商业大厦4-5楼,39395678,
好声音KTV,南沙区南沙街金洲裕兴花园商业大厦四-5楼,39395678,,
好乐迪KTV(大良店),南沙区大良环市北路382号23楼,22333365,,
珠江新城w酒店经典会所,天河区珠江新城冼村路w酒店裙楼3楼,15813366669,,
至尊K歌,天河区天河区华穗路263号双城国际至尊K歌4楼,38258787,
扎啤屋,天河区东圃大马路摩登城C125铺,13710021801,,
郁金香量版KTV,天河区中山大道1033号盈江广场A栋,61070868,,
郁金香KTV,天河区中山大道中1033号盈江广场A栋2-3楼,61070868,,
英伦公馆俱乐部,天河区天河东路220号,13802920513,,
银波夜总会,天河区天河路586号总统大酒店,85512988,,
夜宴国际会所,天河区天河路621号天娱广场西塔15-16楼,87597888,,
星皇国际俱乐部,天河区广园东路博汇街6号E栋,85292333,,
新力KTV,天河区迎龙路169号,38044263,,
新力KTV,天河区龙洞迎龙路大道169号,38044263,,
新活力KTV酒吧,天河区迎龙路,87082507,,
新KTV会所,天河区中山大道中268号,15920311200,,
匣子KBOXKTV,天河区珠江西路8号、10号高德置地广场夏栋4楼,38082033,,
喜洋KTV,天河区东圃大马路4号四季时尚荟A区2楼,34702000,
喜相逢,天河区梅园东路6号1楼,38621831,,
喜聚PTV,天河区天河北路163号广州汽车博览中心3-4楼,62208888,,
威尔斯国际娱乐会所,天河区体育东路140-148号南方证券大厦3楼,22220122,,
天鸿会,天河区沙太路162号天虹宾馆附近,87638299,,
天河新会所KTV,天河区中山大道268号天河广场会所,82307883,,
天豪KTV俱乐部,天河区黄埔大道西668号赛马场内,13802920513,,
涛之声KTV,天河区棠德南路丰格网吧旁边,18675820569,,
棠会KTV(吉山店),天河区吉山新路街4号1楼,82370909,,
棠会KTV,天河区棠德南路42号乐天广场D座3楼,85570909,,
堂会(天河店),天河区天河直街160号天河汇1-3楼,83333999,,
唐盛KTV,天河区天河路228号正佳广场南门4楼,38350388,,
十八号公馆,天河区天河北路368号都市华庭4楼,13802920513,,
盛歌KTV,天河区东圃大马路14号东圃摩登城4楼,61302262,,
圣丰索菲特酒店KTV,天河区广州大道中988号,18684771915,,
神话国际俱乐部,天河区广州大道中918号天龙大酒店4楼,38863233,,
塞纳河之夜俱乐部,天河区广州大道中988号圣丰广场南塔4-5楼,22105605,,
钱柜KTV(天河店),天河区体育西路191号中石化大厦佳兆业广场B座1-4楼,28028666,,
麒麟会,天河区林和西横路196号,87050388,,
拼音量贩式KTV,天河区龙洞迎龙路6号高雅工业苑1栋2-3楼,87080155,,
名豪量贩式KTV,天河区天河路188号新天河宾馆3楼,85586388,,
咪乐量贩KTV,天河区长兴13号,85605860,,
梦影夜总会,天河区天河东路168号,85510838,,
马会酒店,天河区黄埔大道西668号跑马场,13808876001,,
领汇顶级KTV,天河区林和西站A口对面,38773237,,
零点KTV,天河区沙太路陶庄1号之一合神酒店内,87638061,,
临汉轩酒吧KTV,天河区中山大道中128号东景花园2楼,82528554,,
雷霆七号娱乐会所,天河区天河北路6-8号汉风大厦3-4楼,38833087,,
乐馆会KTV,天河区东圃黄村南路4号,82573266,,
拉阔音乐工厂KTV,天河区迎龙路6号,4008833319,,
凯乐会量贩KTV,天河区黄埔大道西505号易通大厦1-3楼,38077888,,
卡拉OK歌舞厅,天河区先烈东路296号11楼,87638048,,
君怡国际KTV,天河区天河北路76-78号新疆大厦4楼,38811129,,
金座量贩式KTV,天河区棠德南路346号之一祥盛广场3至4楼,86636999,,
金碧辉煌KTV,天河区体育中心北门林和西地铁站C出口,13104881278,,
捷硕科技,天河区石牌西路太平洋电脑城B场G406,87511755,,
加州红KTV&Amp;BAR,天河区石牌岗顶天河娱乐广场B1楼,28943001,,
皇家瑶池国际会所,天河区南翔路,51583699999,,
欢歌KTV,天河区天河路228号正佳购物广场4楼4D000铺,38350333,,
欢歌,天河区燕岭路120号金燕大厦内,37206018,,
华爽,天河区天源路龙洞,87014215,,
红歌会,天河区大观中路385号得利达商业大厦3-4楼,62206699,,
河棠月色,天河区棠下村汇鑫大厦,82162356,,
豪廷国际F吧,天河区沙太路1号,13580315992,,
豪情2000KTV,天河区员村四横路8号2楼,85544781,,
豪客会,天河区迎龙路169号,61025888,,
海旋门KTV,天河区石牌东路163号,33133147,,
国会俱乐部,天河区林和中路150-160号天誉花园一期3楼,13802920513,,
广武KTV,天河区天河路603号莱福广武酒店内,61216060,,
广东潮汇PTV(潮汇PartyKTV),天河区黄埔大道西888号国防大厦西楼,38769999,,
歌魅量贩ktv,天河区行云花苑附近,62806460,,
歌魅KTV,天河区岑村行云商业街2楼,62806460,,
歌荟量贩KTV,天河区元岗中横路10号,37083888,,
风情国际KTV,天河区东圃黄村福园中路17号,82300259,,
妃吧,天河区冼村路26号广州W酒店2-4楼,66807825,,
东凯KTV,天河区中山大道中旭景西街,82323222,,
东方会,天河区黄埔大道西638号富力科讯大厦3-4楼,37884888,,
大快活卡拉OK酒城休闲中心,天河区石牌东路自编5号,38904117,,
畅歌KTV,天河区中山大道西773号汇长大厦1-3楼,61082666,,
佰音KTV,天河区黄埔大道西668号跑马场马会酒店副楼3-4楼,38838838,,
W酒店夜总会,天河区珠江新城冼村路26号w酒店裙楼3层,13711248788,,
K歌王(天河东路店),天河区天河东路155号骏源大厦附楼,61006666,,
K.T公馆,天河区体育西路75号IBOX先达潮流数码港2楼B01楼铺,15913106263,,
IdoMuSicClub,天河区天河北路林乐路39-49号中旅商务大厦3楼,38863788,,
F1酒吧,天河区天平架沙太路1号神州酒店旁,13104881278,,
cocoKtv(车陂店),天河区中山大道车陂北街3号,82322030,,
紫星阁KTV,越秀区泰康路180号中化中心2-3楼,83366139,,
中岛舞厅,越秀区东湖路123号东山湖公园,87667712,,
悦浙会,越秀区先烈中路85号浙江大厦9楼,22920633,,
银海KTV,越秀区沿江中路299号银海大厦1-3楼,61222261,,
夜色俱乐部,越秀区东风东路728号艺星大厦5楼,33133147,,
星时代KTV,越秀区北京路182号潮楼4-5楼,83310331,,
星辰KTV,越秀区人民南路2-6号新华大酒店2-3楼,81840116,,
玩家量贩KTV,越秀区环市东路419号,37618333,,
天乐酒城,越秀区陵园西路17号广联礼堂内,83843140,,
堂会(缤缤店),越秀区广州起义路1号海印缤缤广场9楼,83333999,,
时尚派对KTV,越秀区北京路147号锦源大厦5-6楼,84646646,,
乾福生KTV,越秀区瑶台西街130号,86258869,,
平安大戏院酷歌KTV,越秀区第十圃路125号平安大戏院3楼,13580583269,,
朋满公寓酒店(金润铂宫店),越秀区文明路238号金润铂宫16楼1622室,83515578,,
量贩式潮KTV,越秀区长堤大马路324号,81324030,,
丽精会KTV,越秀区白云路22号嘉星广场柏高商务酒店三4楼,83644688,,
浪程会大厅KTV,越秀区东湖路33号东湖豪苑商业中心4楼437室,87670822,,
莱欧夜总会,越秀区站前路88号湛江大厦2楼,86681688,,
卡玛俱乐部,越秀区恒福路248号金怡楼,83585115,,
卡带录音棚,越秀区杨箕C出口左拐50米即到,18898406060,,
君顶酒庄,越秀区保安前街2号,37653619,,
九号公馆,越秀区云鹤北街8号,38377288,,
经理,越秀区睡觉觉,596589658,,
劲鹰KTV,越秀区麓湖路5号,83494151,,
金王子俱乐部,越秀区人民南路新华酒店2-3楼,81909816,,
金梦娱乐城,越秀区东风东路750号,89534466,,
金城会所,越秀区东华北路168号金城大厦2号楼3楼,87672688,,
加州红(较场西店),越秀区较场西路3号置地大厦4楼,83869588,,
活力无限(中华广场店),越秀区中山三路33号中华广场9楼,83736666,,
红量贩ktv,越秀区沿江路65号广州电影院2楼,81918278,,
红馆俱乐部,越秀区应元路34号越秀山体育馆主门楼3-4楼,83562345,,
红点TOPSHOWKTV,越秀区永福路6号永怡新都1-4楼,61313613,,
恒福路,越秀区98号淘金花园金怡楼,13533269309,,
浩晟会,越秀区竹丝岗二马路37号,61283082,,
贵族国际俱乐部,越秀区沿江中路313号,86000727,,
歌王KTV,越秀区北京路,88482366,,
歌神KTV(盘福路店),越秀区盘福路13-35号麒麟大厦2楼,81363254,,
歌神KTV(东峻广场店),越秀区东风东路828-836号东峻广场,37652365,,
歌哥,越秀区长堤大马路324号,81324033,,
高高量贩式KTV,越秀区沿江中路199-201号,83302588,,
独家园林KTV,越秀区解放北路988号越秀公园北门,86666708,,
东山大少KTV,越秀区龟岗大马路1号珀东广场4楼,37623838,,
大黄蜂卡拉OK歌舞厅,越秀区侨光路8号华厦大酒店B座3楼,83178263,,
创声音响,越秀区大沙头三马路18号信和电器市场11档,83781860,,
成功路卡拉ok歌舞厅,越秀区流花路119号锦汉大厦10楼,86687120,,
潮歌,越秀区环市东路488号东兴大厦,83838383,,
朝中朝KTV,越秀区环市东路418号嘉应宾馆3楼,33133147,,
朝歌KTV,越秀区环市东路488号东兴大厦,83838383,,
百威CEO量贩KTV,越秀区恒福路18号,83580228,,
百家乐传奇俱乐部,越秀区下塘西路688号,86583888,,
VelvetMuSicClub,越秀区环市东路403号广州国际电子大厦,87327802,,
P-PASSKTV,越秀区沿江中路298号江湾酒店中区B1楼,83283328,
Neway(潮楼店),越秀区北京路182号潮楼4-5楼,83310331,,
LUCKY777CLUB,越秀区天河北路181号祥龙花园1楼之1号,22233060,,
IMusic量贩KTV,越秀区沿江西路65号原广州电影院内,81855318,,
feelnet,越秀区长堤大马路286号,13104881278,,
COCOK,越秀区沿江中路199号天字广场1-3楼,83302588,,
COCO.KTV,越秀区沿江中路203号天宇广场1-3楼,83302588,,
